ID,Business Name,Phone,Address,Website,Score,Issue Tier,Detected Issues,Pitch,Status,Date Found
1,IRPINO Real Estate,(773) 525-0900,"4234 N Broadway, Chicago, IL 60613",http://www.irpinorealestate.com/,50,Outdated Website,Missing HTTPS (Insecure),"Hi IRPINO Real Estate team, I noticed your business at 4234 N Broadway, Chicago, IL 60613 currently has outdated website (Missing HTTPS (Insecure)). We help local businesses build modern websites that convert search traffic into clients.",New,2026-09-06 16:14:52
2,Ani Real Estate,(773) 599-9537,"605 N Michigan Ave 4th floor, Chicago, IL 60611",http://www.anirealestate.com/,85,Broken Site,Website returns HTTP status 403.,"Hi Ani Real Estate team, I noticed your business at 605 N Michigan Ave 4th floor, Chicago, IL 60611 currently has broken site (Website returns HTTP status 403.). We help local businesses build modern websites that convert search traffic into clients.",New,2026-09-06 16:14:52
3,Best Chicago Properties,(312) 767-7744,"847 W Monroe St, Chicago, IL 60607",https://www.bestchicagoproperties.com/,90,Unreachable / Offline,Website timed out or refused connection.,"Hi Best Chicago Properties team, I noticed your business at 847 W Monroe St, Chicago, IL 60607 currently has unreachable / offline (Website timed out or refused connection.). We help local businesses build modern websites that convert search traffic into clients.",New,2026-09-06 16:14:52
4,Gold Coast Realty Chicago,(312) 280-9600,"1165 N Clark St #700, Chicago, IL 60610",http://goldcoastrealty-chicago.com/,50,Outdated Website,Missing HTTPS (Insecure),"Hi Gold Coast Realty Chicago team, I noticed your business at 1165 N Clark St #700, Chicago, IL 60610 currently has outdated website (Missing HTTPS (Insecure)). We help local businesses build modern websites that convert search traffic into clients.",New,2026-09-06 16:14:52
5,RE/MAX Mi Casa,(773) 767-1616,"3958 W 55th St, Chicago, IL 60632",https://mi-casa-chicago-il.remax.com/,85,Broken Site,Website returns HTTP status 403.,"Hi RE/MAX Mi Casa team, I noticed your business at 3958 W 55th St, Chicago, IL 60632 currently has broken site (Website returns HTTP status 403.). We help local businesses build modern websites that convert search traffic into clients.",New,2026-09-06 16:14:52
6,"CENTURY 21 S.G.R., Inc.",(312) 326-2121,"1823 S Michigan Ave, Chicago, IL 60616",http://www.century21sgr.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=2107580007,50,Outdated Website,Missing HTTPS (Insecure),"Hi CENTURY 21 S.G.R., Inc. team, I noticed your business at 1823 S Michigan Ave, Chicago, IL 60616 currently has outdated website (Missing HTTPS (Insecure)). We help local businesses build modern websites that convert search traffic into clients.",New,2026-09-06 16:14:52
7,Debra Dobbs Real Estate,(312) 307-4909,"2350 N Lincoln Ave, Chicago, IL 60614",https://debradobbs.com/,85,Broken Site,Website returns HTTP status 403.,"Hi Debra Dobbs Real Estate team, I noticed your business at 2350 N Lincoln Ave, Chicago, IL 60614 currently has broken site (Website returns HTTP status 403.). We help local businesses build modern websites that convert search traffic into clients.",New,2026-09-06 16:14:52
8,IRPINO Real Estate,(773) 525-0900,"4234 N Broadway, Chicago, IL 60613",http://www.irpinorealestate.com/,50,Outdated Website,Missing HTTPS (Insecure),"Hi IRPINO Real Estate team, I noticed your business at 4234 N Broadway, Chicago, IL 60613 currently has outdated website (Missing HTTPS (Insecure)). We help local businesses build modern websites that convert search traffic into clients.",New,2026-09-06 16:15:05
9,Ani Real Estate,(773) 599-9537,"605 N Michigan Ave 4th floor, Chicago, IL 60611",http://www.anirealestate.com/,85,Broken Site,Website returns HTTP status 403.,"Hi Ani Real Estate team, I noticed your business at 605 N Michigan Ave 4th floor, Chicago, IL 60611 currently has broken site (Website returns HTTP status 403.). We help local businesses build modern websites that convert search traffic into clients.",New,2026-09-06 16:15:05
10,"Ask Nagel Realty | Greg Nagel, Managing Broker & Owner",(312) 933-1432,"1919 W Division St, Chicago, IL 60622",https://www.asknagel.com/,90,Unreachable / Offline,Website timed out or refused connection.,"Hi Ask Nagel Realty | Greg Nagel, Managing Broker & Owner team, I noticed your business at 1919 W Division St, Chicago, IL 60622 currently has unreachable / offline (Website timed out or refused connection.). We help local businesses build modern websites that convert search traffic into clients.",New,2026-09-06 16:15:05
